id,scenario_idx,unit_pos_no,delay,affect_type,anime_id,icon_id
1,1,1,0,1,1,0
1,2,2,0,1,4,0
1,3,1,0,1,5,12
1,4,2,0,1,2,0
1,5,1,0,2,8,0
2,1,1,0,1,1,0
2,2,2,0,1,1,0
2,3,1,0,1,6,0
2,4,2,0,1,1,0
2,5,3,0,1,1,0
2,6,1,0,3,3,11
2,7,2,0,1,1,0
2,8,1,0,1,3,0
2,9,1,0,2,1,0
3,1,1,0,1,1,0
3,2,2,0,1,10,0
3,3,1,0,1,11,0
3,4,2,0,1,5,0
3,5,3,0,1,6,0
3,6,3,0,1,3,0
3,7,4,0,2,3,9
3,8,4,0,1,7,0
3,9,4,0,1,1,0
3,10,1,0,3,9,8
3,11,2,0,1,4,0
3,12,1,0,1,1,0
3,13,4,0,1,3,0
3,14,3,0,2,3,11
4,1,1,0,1,4,10
4,2,1,0,1,12,12
4,3,2,0,1,1,10
4,4,1,0,1,11,4
4,5,2,0,1,1,0
4,6,1,0,1,4,13
4,7,2,0,1,2,6
4,8,1,0,1,8,0
4,9,2,0,1,8,10
5,1,1,0,1,1,10
5,2,2,0,1,11,5
5,3,1,0,1,1,7
5,4,2,0,1,5,12
5,5,1,0,1,1,11
5,6,2,0,1,3,4
5,7,2,0,1,5,12
5,8,1,0,1,2,6
5,9,2,0,1,11,4
5,10,1,0,1,8,8
5,11,1,0,1,4,10
5,12,2,0,1,5,10
6,1,1,0,1,8,7
6,2,2,0,1,4,10
6,3,1,0,1,1,11
6,4,2,0,1,8,8
6,5,1,0,1,11,6
6,6,1,0,2,2,7
6,7,1,0,1,5,4
6,8,2,0,1,4,10
6,9,1,0,2,10,13
7,1,1,0,1,8,7
7,2,2,0,1,12,10
7,3,2,0,1,4,12
7,4,1,0,1,11,7
7,5,1,0,1,1,10
7,6,2,0,1,5,12
7,7,2,0,1,5,11
7,8,2,0,1,8,10
7,9,1,0,1,2,8
7,10,1,0,1,8,7
7,11,2,0,1,4,9
8,1,1,0,2,1,10
8,2,2,0,1,12,10
8,3,1,0,1,12,5
8,4,1,0,1,5,12
8,5,2,0,1,1,10
8,6,1,0,1,5,12
8,7,1,0,1,5,12
8,8,2,0,1,1,10
8,9,2,0,1,8,9
8,10,1,0,2,4,9
9,1,1,0,1,4,8
9,2,1,0,1,5,10
9,3,2,0,1,4,7
9,4,2,0,1,6,8
9,5,1,0,1,1,10
9,6,1,0,1,11,11
9,7,1,0,1,1,6
9,8,2,0,1,5,8
9,9,2,0,1,8,7
9,10,1,0,1,4,6
10,1,2,0,1,11,10
10,2,1,0,1,1,7
10,3,1,0,2,8,8
10,4,2,0,1,5,9
10,5,1,0,1,10,8
10,6,1,0,2,1,7
10,7,1,0,2,2,6
10,8,1,0,1,11,10
10,9,2,0,1,8,10
11,1,1,0,1,9,8
11,2,2,0,1,5,0
11,3,2,0,1,6,12
11,4,1,0,1,1,5
11,5,2,0,1,5,10
11,6,2,0,1,6,12
11,7,1,0,1,1,4
11,8,1,0,1,11,0
11,9,1,0,1,6,0
11,10,2,0,1,1,10
11,11,1,0,1,6,11
11,12,2,0,1,1,12
11,13,2,0,1,5,6
11,14,1,0,1,10,7
11,15,2,0,1,4,7
12,1,2,0,1,11,4
12,2,1,0,1,1,5
12,3,2,0,1,6,10
12,4,2,0,1,5,10
12,5,1,0,1,11,0
12,6,2,0,1,6,0
12,7,2,0,1,12,17
12,8,1,0,1,5,1
12,9,1,0,1,1,2
12,10,2,0,1,6,10
12,11,2,0,1,4,10
12,12,1,0,1,1,0
12,13,1,0,1,5,13
12,14,2,0,1,11,8
12,15,1,0,1,8,10
13,1,1,0,1,11,10
13,2,3,0,1,11,8
13,3,2,0,1,6,0
13,4,1,0,1,11,10
13,5,2,0,1,11,7
13,6,3,0,1,2,6
13,7,3,1500,1,1,0
13,8,1,0,3,11,5
13,9,3,0,1,5,10
13,10,2,0,1,1,4
13,11,1,0,1,1,4
13,12,3,0,1,6,6
13,13,1,0,1,4,6
13,14,1,0,3,9,10
13,15,3,0,1,8,10
13,16,1,0,1,4,6
13,17,3,0,1,1,0
13,18,2,0,1,8,8
14,1,1,0,1,11,0
14,2,1,0,2,2,13
14,3,3,0,1,11,10
14,4,1,0,1,1,10
14,5,1,0,2,4,10
14,6,2,0,1,11,0
14,7,2,0,1,1,0
14,8,1,0,1,1,10
14,9,3,0,1,12,12
14,10,3,0,1,12,12
14,11,3,0,1,5,0
14,12,1,0,1,5,12
14,13,1,0,2,10,6
14,14,1,0,1,11,10
14,15,1,0,3,10,6
14,16,1,0,1,11,10
14,17,1,0,3,2,6
14,18,1,0,2,10,6
14,19,1,0,1,11,4
14,20,2,0,1,8,10
14,21,1,0,3,8,4
15,1,2,0,1,12,10
15,2,1,0,1,12,12
15,3,3,0,1,11,12
15,4,1,0,1,11,6
15,5,2,0,1,12,12
15,6,2,0,1,5,0
15,7,1,0,1,11,12
15,8,1,0,1,1,0
15,9,1,0,1,5,0
15,10,1,0,2,12,12
15,11,3,0,1,11,0
15,12,3,0,1,12,11
15,13,2,0,1,1,9
15,14,1,0,1,1,12
15,15,1,0,1,12,0
15,16,1,0,1,12,9
15,17,2,0,1,11,4
15,18,1,0,3,11,4
15,19,2,0,1,5,12
15,20,2,0,1,12,0
15,21,2,0,1,12,7
15,22,1,0,3,12,12
15,23,1,0,3,1,7
15,24,3,0,1,4,0
15,25,1,0,3,4,10
15,26,2,0,1,8,0
15,27,1,0,1,11,0
15,28,2,0,1,11,0
16,1,1,0,1,6,0
16,2,2,0,1,11,10
16,3,3,0,1,12,0
16,4,2,0,1,4,0
16,5,1,0,1,6,12
16,6,1,0,1,6,0
16,7,2,0,1,4,4
16,8,3,0,1,5,4
16,9,3,0,1,1,0
16,10,1,0,1,12,17
16,11,2,0,1,11,0
16,12,3,0,1,1,10
16,13,2,0,1,11,11
16,14,3,0,1,11,0
16,15,1,0,1,12,12
16,16,1,0,1,11,10
16,17,1,0,1,11,10
16,18,1,0,1,6,6
16,19,2,0,1,11,6
16,20,3,0,1,1,8
16,21,3,0,1,5,8
16,22,1,0,1,4,9
16,23,1,0,1,11,10
17,1,1,0,1,11,4
17,2,1,0,3,4,10
17,3,1,0,1,11,4
17,4,1,0,1,1,0
17,5,1,0,2,1,10
17,6,2,0,1,11,4
17,7,1,0,2,1,10
17,8,2,0,1,11,4
17,9,3,0,1,1,0
17,10,1,0,2,8,10
17,11,1,0,1,12,12
17,12,3,0,1,11,4
17,13,1,0,3,1,4
17,14,1,0,1,11,10
17,15,1,0,2,1,0
17,16,1,0,2,11,4
17,17,1,0,2,8,7
17,18,1,0,1,11,0
17,19,1,0,3,2,6
17,20,1,0,1,10,10
17,21,2,0,1,11,10
17,22,3,0,1,8,7
18,1,1,0,1,11,4
18,2,1,0,2,5,13
18,3,1,0,1,4,10
18,4,2,0,1,4,10
18,5,3,0,1,11,10
18,6,1,0,3,5,7
18,7,1,0,1,11,10
18,8,3,0,1,4,10
18,9,2,0,1,11,10
18,10,1,0,3,5,6
18,11,1,0,1,11,10
18,12,2,0,1,11,10
18,13,3,0,1,4,10
18,14,1,0,2,5,8
18,15,1,0,2,6,6
18,16,3,0,1,10,0
18,17,2,0,1,10,0
18,18,1,0,1,10,0
18,19,1,0,2,10,7
18,20,1,0,1,8,10
18,21,1,0,1,11,10
18,22,1,0,2,2,9
19,1,1,0,2,13,0
19,2,1,0,2,4,8
19,3,1,0,2,8,0
20,1,1,0,2,14,10
20,2,1,0,2,8,0
21,1,1,0,2,15,13
22,1,1,0,2,15,0
22,2,1,0,2,13,0
23,1,1,0,2,42,0
23,2,1,0,2,72,0
24,1,1,0,2,43,0
25,1,1,0,2,44,0
